date,confirmed,fatalities,ICU
2020-03-02,2,0,0
2020-03-03,2,0,0
2020-03-04,2,0,0
2020-03-05,4,0,0
2020-03-06,5,0,0
2020-03-07,5,0,0
2020-03-08,6,0,0
2020-03-09,8,0,0
2020-03-10,8,0,0
2020-03-11,11,0,0
2020-03-12,25,0,0
2020-03-13,25,0,0
2020-03-14,36,0,0
2020-03-15,38,0,0
2020-03-16,46,0,0
2020-03-17,46,0,0
2020-03-18,52,0,0
2020-03-19,67,0,0
2020-03-20,73,0,0
2020-03-21,74,1,2
2020-03-22,77,1,2
2020-03-23,82,3,4
2020-03-24,93,3,5
2020-03-25,102,3,8
2020-03-26,117,3,9
2020-03-27,129,3,10
2020-03-28,149,3,10
2020-03-29,149,3,10
