date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,5,0,0
2020-03-10,9,0,0
2020-03-11,16,0,0
2020-03-12,31,0,0
2020-03-13,40,0,0
2020-03-14,40,0,0
2020-03-15,40,0,0
2020-03-16,43,0,0
2020-03-17,44,0,0
2020-03-18,49,0,0
2020-03-19,50,0,1
2020-03-20,54,0,1
2020-03-21,55,0,1
2020-03-22,58,0,1
2020-03-23,63,0,2
2020-03-24,64,0,2
2020-03-25,66,0,2
2020-03-26,77,2,3
2020-03-27,81,3,3
2020-03-28,81,3,3
2020-03-29,81,3,3
