date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,4,0,0
2020-03-09,4,0,0
2020-03-10,5,0,0
2020-03-11,7,0,0
2020-03-12,8,0,0
2020-03-13,8,0,0
2020-03-14,13,0,0
2020-03-15,13,0,0
2020-03-16,15,0,0
2020-03-17,25,0,0
2020-03-18,25,0,0
2020-03-19,27,0,0
2020-03-20,33,0,0
2020-03-21,41,0,1
2020-03-22,42,0,1
2020-03-23,47,0,3
2020-03-24,57,0,3
2020-03-25,58,0,5
2020-03-26,66,0,7
2020-03-27,68,0,8
2020-03-28,75,0,8
2020-03-29,75,0,8
