date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,0,0
2020-03-06,2,0,0
2020-03-07,2,0,0
2020-03-08,2,0,0
2020-03-09,2,0,0
2020-03-10,2,0,0
2020-03-11,3,0,0
2020-03-12,5,0,0
2020-03-13,5,0,0
2020-03-14,6,0,0
2020-03-15,7,0,0
2020-03-16,8,0,0
2020-03-17,9,0,0
2020-03-18,13,0,0
2020-03-19,15,0,0
2020-03-20,17,0,0
2020-03-21,20,0,0
2020-03-22,24,0,1
2020-03-23,24,0,1
2020-03-24,27,0,2
2020-03-25,32,1,4
2020-03-26,39,1,5
2020-03-27,44,1,5
2020-03-28,53,1,5
2020-03-29,53,1,5
