date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,2,0,0
2020-03-05,5,0,0
2020-03-06,13,0,0
2020-03-07,13,0,0
2020-03-08,21,0,0
2020-03-09,22,0,0
2020-03-10,22,0,0
2020-03-11,24,0,0
2020-03-12,27,0,0
2020-03-13,30,0,0
2020-03-14,30,0,0
2020-03-15,30,0,0
2020-03-16,31,0,0
2020-03-17,34,0,0
2020-03-18,34,0,0
2020-03-19,36,0,0
2020-03-20,36,0,0
2020-03-21,37,0,2
2020-03-22,39,0,3
2020-03-23,40,0,3
2020-03-24,42,1,4
2020-03-25,45,1,4
2020-03-26,45,1,4
2020-03-27,45,1,4
2020-03-28,46,1,4
2020-03-29,46,1,4
