date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,6,0,0
2020-03-11,6,0,0
2020-03-12,9,0,0
2020-03-13,11,0,0
2020-03-14,11,0,0
2020-03-15,11,0,0
2020-03-16,12,0,0
2020-03-17,13,0,0
2020-03-18,13,0,0
2020-03-19,14,0,0
2020-03-20,15,0,0
2020-03-21,15,0,0
2020-03-22,15,0,0
2020-03-23,15,0,0
2020-03-24,17,0,2
2020-03-25,19,0,3
2020-03-26,21,0,3
2020-03-27,25,0,3
2020-03-28,25,0,3
2020-03-29,25,0,3
