date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,1,0,0
2020-03-04,2,0,0
2020-03-05,9,0,0
2020-03-06,14,0,0
2020-03-07,17,0,0
2020-03-08,22,0,0
2020-03-09,22,0,0
2020-03-10,25,0,0
2020-03-11,60,0,0
2020-03-12,98,0,0
2020-03-13,129,0,0
2020-03-14,175,0,0
2020-03-15,197,0,0
2020-03-16,206,0,0
2020-03-17,209,0,0
2020-03-18,209,1,0
2020-03-19,216,1,0
2020-03-20,220,1,0
2020-03-21,223,1,5
2020-03-22,228,2,6
2020-03-23,231,2,9
2020-03-24,238,2,9
2020-03-25,246,3,10
2020-03-26,256,3,11
2020-03-27,264,4,12
2020-03-28,274,6,15
2020-03-29,276,7,17
