date,confirmed,fatalities,ICU
2020-03-02,2,0,0
2020-03-03,3,0,0
2020-03-04,3,0,0
2020-03-05,3,0,0
2020-03-06,8,0,0
2020-03-07,8,0,0
2020-03-08,8,0,0
2020-03-09,10,0,0
2020-03-10,10,0,0
2020-03-11,13,0,0
2020-03-12,26,0,0
2020-03-13,26,0,0
2020-03-14,38,0,0
2020-03-15,38,0,0
2020-03-16,42,0,0
2020-03-17,43,0,0
2020-03-18,44,0,0
2020-03-19,46,0,0
2020-03-20,48,0,0
2020-03-21,51,0,1
2020-03-22,55,0,1
2020-03-23,56,0,3
2020-03-24,59,0,4
2020-03-25,65,1,4
2020-03-26,70,2,6
2020-03-27,79,3,9
2020-03-28,94,3,9
2020-03-29,94,6,10
