date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,0,0
2020-03-11,5,0,0
2020-03-12,8,0,0
2020-03-13,11,0,0
2020-03-14,14,0,0
2020-03-15,16,0,0
2020-03-16,21,0,0
2020-03-17,22,0,0
2020-03-18,24,0,0
2020-03-19,27,0,0
2020-03-20,31,0,0
2020-03-21,45,0,0
2020-03-22,45,0,0
2020-03-23,56,0,0
2020-03-24,59,0,0
2020-03-25,59,0,0
2020-03-26,66,0,0
2020-03-27,68,0,0
2020-03-28,71,0,0
2020-03-29,71,0,0
