date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0
2020-03-10,2,0,0
2020-03-11,5,0,0
2020-03-12,6,0,0
2020-03-13,6,0,0
2020-03-14,8,0,0
2020-03-15,8,0,0
2020-03-16,8,0,0
2020-03-17,10,0,0
2020-03-18,10,0,0
2020-03-19,13,0,0
2020-03-20,17,0,0
2020-03-21,22,0,2
2020-03-22,22,0,4
2020-03-23,22,0,5
2020-03-24,25,0,10
2020-03-25,35,1,10
2020-03-26,40,1,10
2020-03-27,43,1,12
2020-03-28,43,1,14
2020-03-29,43,1,14
