date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,2,0,0
2020-03-11,2,0,0
2020-03-12,4,0,0
2020-03-13,5,0,0
2020-03-14,5,0,0
2020-03-15,7,0,0
2020-03-16,7,0,0
2020-03-17,7,0,0
2020-03-18,8,0,0
2020-03-19,9,0,0
2020-03-20,9,0,0
2020-03-21,11,0,0
2020-03-22,12,0,0
2020-03-23,14,0,0
2020-03-24,15,0,0
2020-03-25,18,0,0
2020-03-26,21,0,0
2020-03-27,25,1,1
2020-03-28,28,1,1
2020-03-29,28,1,1
