date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,2,0,0
2020-03-13,2,0,0
2020-03-14,2,0,0
2020-03-15,2,0,0
2020-03-16,2,0,0
2020-03-17,2,0,0
2020-03-18,4,0,0
2020-03-19,4,0,0
2020-03-20,5,0,0
2020-03-21,5,0,0
2020-03-22,5,0,0
2020-03-23,5,0,0
2020-03-24,5,0,0
2020-03-25,5,0,0
2020-03-26,9,0,0
2020-03-27,9,0,0
2020-03-28,11,0,0
2020-03-29,11,0,0
