date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,0,0
2020-03-11,8,0,0
2020-03-12,10,0,0
2020-03-13,12,0,0
2020-03-14,12,0,0
2020-03-15,13,0,0
2020-03-16,16,0,0
2020-03-17,17,0,0
2020-03-18,17,0,0
2020-03-19,19,0,0
2020-03-20,19,0,0
2020-03-21,19,0,0
2020-03-22,19,0,0
2020-03-23,19,0,0
2020-03-24,19,0,0
2020-03-25,20,0,0
2020-03-26,23,0,0
2020-03-27,23,0,0
2020-03-28,28,0,0
2020-03-29,29,0,0
