date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0
2020-03-10,2,0,0
2020-03-11,7,0,0
2020-03-12,11,0,0
2020-03-13,17,0,0
2020-03-14,25,0,0
2020-03-15,28,0,0
2020-03-16,33,1,0
2020-03-17,33,2,0
2020-03-18,37,3,0
2020-03-19,38,4,0
2020-03-20,43,5,0
2020-03-21,47,5,6
2020-03-22,53,5,10
2020-03-23,64,7,12
2020-03-24,66,7,15
2020-03-25,85,8,20
2020-03-26,114,12,22
2020-03-27,126,14,25
2020-03-28,159,16,28
2020-03-29,160,17,29
