date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,5,0,0
2020-03-10,5,0,0
2020-03-11,8,0,0
2020-03-12,8,0,0
2020-03-13,9,0,0
2020-03-14,11,0,0
2020-03-15,13,0,0
2020-03-16,13,0,0
2020-03-17,18,0,0
2020-03-18,19,0,0
2020-03-19,23,0,0
2020-03-20,27,0,0
2020-03-21,29,0,1
2020-03-22,29,0,1
2020-03-23,30,0,3
2020-03-24,30,0,3
2020-03-25,33,0,3
2020-03-26,39,0,3
2020-03-27,42,0,5
2020-03-28,42,0,5
2020-03-29,47,0,5
