date,confirmed,fatalities,ICU
2020-03-02,5,0,0
2020-03-03,15,0,0
2020-03-04,31,0,0
2020-03-05,59,0,0
2020-03-06,80,0,0
2020-03-07,102,0,0
2020-03-08,114,0,0
2020-03-09,146,0,0
2020-03-10,207,0,0
2020-03-11,233,1,0
2020-03-12,267,1,0
2020-03-13,308,1,0
2020-03-14,341,1,0
2020-03-15,359,2,0
2020-03-16,377,5,0
2020-03-17,410,5,0
2020-03-18,446,5,0
2020-03-19,501,5,0
2020-03-20,606,8,0
2020-03-21,661,10,42
2020-03-22,760,10,47
2020-03-23,816,16,62
2020-03-24,959,19,80
2020-03-25,1070,37,95
2020-03-26,1216,43,107
2020-03-27,1311,60,117
2020-03-28,1538,63,129
2020-03-29,1657,68,144
