date,confirmed,fatalities,ICU
2020-03-02,6,0,0
2020-03-03,9,0,0
2020-03-04,11,0,0
2020-03-05,12,0,0
2020-03-06,14,0,0
2020-03-07,14,0,0
2020-03-08,26,0,0
2020-03-09,33,0,0
2020-03-10,48,0,0
2020-03-11,85,0,0
2020-03-12,116,0,0
2020-03-13,134,0,0
2020-03-14,155,1,0
2020-03-15,159,1,0
2020-03-16,176,1,0
2020-03-17,179,1,0
2020-03-18,199,1,0
2020-03-19,207,1,0
2020-03-20,228,1,0
2020-03-21,242,1,9
2020-03-22,250,1,9
2020-03-23,254,1,23
2020-03-24,265,2,25
2020-03-25,275,2,30
2020-03-26,297,2,34
2020-03-27,317,4,39
2020-03-28,330,4,41
2020-03-29,351,4,43
