date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,1,0,0
2020-03-12,4,0,0
2020-03-13,4,0,0
2020-03-14,4,0,0
2020-03-15,4,0,0
2020-03-16,6,0,0
2020-03-17,6,0,0
2020-03-18,8,0,1
2020-03-19,13,0,1
2020-03-20,15,0,1
2020-03-21,16,1,2
2020-03-22,16,1,2
2020-03-23,25,1,3
2020-03-24,30,1,4
2020-03-25,40,1,8
2020-03-26,54,2,9
2020-03-27,62,4,9
2020-03-28,76,4,10
2020-03-29,82,4,10
