date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,1,0,0
2020-03-12,6,0,0
2020-03-13,8,0,0
2020-03-14,8,0,0
2020-03-15,8,0,0
2020-03-16,10,0,0
2020-03-17,11,0,0
2020-03-18,11,0,0
2020-03-19,11,0,0
2020-03-20,12,0,0
2020-03-21,12,0,0
2020-03-22,12,0,0
2020-03-23,12,0,0
2020-03-24,12,0,0
2020-03-25,12,0,0
2020-03-26,15,1,0
2020-03-27,15,1,0
2020-03-28,15,1,1
2020-03-29,17,1,1
