date,confirmed,fatalities,ICU
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0
2020-03-10,1,0,0
2020-03-11,1,0,0
2020-03-12,11,0,0
2020-03-13,17,0,0
2020-03-14,22,0,0
2020-03-15,27,0,0
2020-03-16,35,0,0
2020-03-17,42,0,0
2020-03-18,55,0,0
2020-03-19,88,0,0
2020-03-20,121,1,0
2020-03-21,138,1,3
2020-03-22,146,3,3
2020-03-23,161,3,4
2020-03-24,190,5,9
2020-03-25,213,5,11
2020-03-26,233,5,17
2020-03-27,251,5,18
2020-03-28,272,5,19
2020-03-29,311,6,22
