date,confirmed,fatalities,ICU,region
2020-03-02,5,0,0,stockholm
2020-03-03,15,0,0,stockholm
2020-03-04,31,0,0,stockholm
2020-03-05,59,0,0,stockholm
2020-03-06,80,0,0,stockholm
2020-03-07,102,0,0,stockholm
2020-03-08,114,0,0,stockholm
2020-03-09,146,0,0,stockholm
2020-03-10,207,0,0,stockholm
2020-03-11,233,1,0,stockholm
2020-03-12,267,1,0,stockholm
2020-03-13,308,1,0,stockholm
2020-03-14,341,1,0,stockholm
2020-03-15,359,2,0,stockholm
2020-03-16,377,5,0,stockholm
2020-03-17,410,5,0,stockholm
2020-03-18,446,5,0,stockholm
2020-03-19,501,5,0,stockholm
2020-03-20,606,8,0,stockholm
2020-03-21,661,10,0,stockholm
2020-03-22,760,10,0,stockholm
2020-03-23,816,16,0,stockholm
2020-03-24,959,19,0,stockholm
2020-03-25,1070,37,0,stockholm
2020-03-26,1216,43,0,stockholm
2020-03-27,1311,60,0,stockholm
2020-03-28,1538,63,0,stockholm
2020-03-29,1657,68,109,stockholm
2020-03-30,1806,89,131,stockholm
2020-03-02,6,0,0,vastragotaland
2020-03-03,9,0,0,vastragotaland
2020-03-04,11,0,0,vastragotaland
2020-03-05,12,0,0,vastragotaland
2020-03-06,14,0,0,vastragotaland
2020-03-07,14,0,0,vastragotaland
2020-03-08,26,0,0,vastragotaland
2020-03-09,33,0,0,vastragotaland
2020-03-10,48,0,0,vastragotaland
2020-03-11,85,0,0,vastragotaland
2020-03-12,116,0,0,vastragotaland
2020-03-13,134,0,0,vastragotaland
2020-03-14,155,1,0,vastragotaland
2020-03-15,159,1,0,vastragotaland
2020-03-16,176,1,0,vastragotaland
2020-03-17,179,1,0,vastragotaland
2020-03-18,199,1,0,vastragotaland
2020-03-19,207,1,0,vastragotaland
2020-03-20,228,1,0,vastragotaland
2020-03-21,242,1,0,vastragotaland
2020-03-22,250,1,0,vastragotaland
2020-03-23,254,1,0,vastragotaland
2020-03-24,265,2,0,vastragotaland
2020-03-25,275,2,0,vastragotaland
2020-03-26,297,2,0,vastragotaland
2020-03-27,317,4,0,vastragotaland
2020-03-28,330,4,0,vastragotaland
2020-03-29,351,4,26,vastragotaland
2020-03-30,372,4,35,vastragotaland
2020-03-02,0,0,0,ostergotland
2020-03-03,0,0,0,ostergotland
2020-03-04,0,0,0,ostergotland
2020-03-05,0,0,0,ostergotland
2020-03-06,0,0,0,ostergotland
2020-03-07,0,0,0,ostergotland
2020-03-08,0,0,0,ostergotland
2020-03-09,1,0,0,ostergotland
2020-03-10,1,0,0,ostergotland
2020-03-11,1,0,0,ostergotland
2020-03-12,11,0,0,ostergotland
2020-03-13,17,0,0,ostergotland
2020-03-14,22,0,0,ostergotland
2020-03-15,27,0,0,ostergotland
2020-03-16,35,0,0,ostergotland
2020-03-17,42,0,0,ostergotland
2020-03-18,55,0,0,ostergotland
2020-03-19,88,0,0,ostergotland
2020-03-20,121,1,0,ostergotland
2020-03-21,138,1,0,ostergotland
2020-03-22,146,3,0,ostergotland
2020-03-23,161,3,0,ostergotland
2020-03-24,190,5,0,ostergotland
2020-03-25,213,5,0,ostergotland
2020-03-26,233,5,0,ostergotland
2020-03-27,251,5,0,ostergotland
2020-03-28,272,5,0,ostergotland
2020-03-29,311,6,19,ostergotland
2020-03-30,374,11,23,ostergotland
2020-03-02,0,0,0,skane
2020-03-03,1,0,0,skane
2020-03-04,2,0,0,skane
2020-03-05,9,0,0,skane
2020-03-06,14,0,0,skane
2020-03-07,17,0,0,skane
2020-03-08,22,0,0,skane
2020-03-09,22,0,0,skane
2020-03-10,25,0,0,skane
2020-03-11,60,0,0,skane
2020-03-12,98,0,0,skane
2020-03-13,129,0,0,skane
2020-03-14,175,0,0,skane
2020-03-15,197,0,0,skane
2020-03-16,206,0,0,skane
2020-03-17,209,0,0,skane
2020-03-18,209,1,0,skane
2020-03-19,216,1,0,skane
2020-03-20,220,1,0,skane
2020-03-21,223,1,0,skane
2020-03-22,228,2,0,skane
2020-03-23,231,2,0,skane
2020-03-24,238,2,0,skane
2020-03-25,246,3,0,skane
2020-03-26,256,3,0,skane
2020-03-27,264,4,0,skane
2020-03-28,274,6,0,skane
2020-03-29,276,7,12,skane
2020-03-30,281,7,13,skane
2020-03-02,0,0,0,sormland
2020-03-03,0,0,0,sormland
2020-03-04,0,0,0,sormland
2020-03-05,0,0,0,sormland
2020-03-06,0,0,0,sormland
2020-03-07,0,0,0,sormland
2020-03-08,0,0,0,sormland
2020-03-09,1,0,0,sormland
2020-03-10,2,0,0,sormland
2020-03-11,7,0,0,sormland
2020-03-12,11,0,0,sormland
2020-03-13,17,0,0,sormland
2020-03-14,25,0,0,sormland
2020-03-15,28,0,0,sormland
2020-03-16,33,1,0,sormland
2020-03-17,33,2,0,sormland
2020-03-18,37,3,0,sormland
2020-03-19,38,4,0,sormland
2020-03-20,43,5,0,sormland
2020-03-21,47,5,0,sormland
2020-03-22,53,5,0,sormland
2020-03-23,64,7,0,sormland
2020-03-24,66,7,0,sormland
2020-03-25,85,8,0,sormland
2020-03-26,114,12,0,sormland
2020-03-27,126,14,0,sormland
2020-03-28,159,16,0,sormland
2020-03-29,160,17,24,sormland
2020-03-30,203,17,27,sormland
2020-03-02,2,0,0,uppsala
2020-03-03,2,0,0,uppsala
2020-03-04,2,0,0,uppsala
2020-03-05,4,0,0,uppsala
2020-03-06,5,0,0,uppsala
2020-03-07,5,0,0,uppsala
2020-03-08,6,0,0,uppsala
2020-03-09,8,0,0,uppsala
2020-03-10,8,0,0,uppsala
2020-03-11,11,0,0,uppsala
2020-03-12,25,0,0,uppsala
2020-03-13,25,0,0,uppsala
2020-03-14,36,0,0,uppsala
2020-03-15,38,0,0,uppsala
2020-03-16,46,0,0,uppsala
2020-03-17,46,0,0,uppsala
2020-03-18,52,0,0,uppsala
2020-03-19,67,0,0,uppsala
2020-03-20,73,0,0,uppsala
2020-03-21,74,1,0,uppsala
2020-03-22,77,1,0,uppsala
2020-03-23,82,3,0,uppsala
2020-03-24,93,3,0,uppsala
2020-03-25,102,3,0,uppsala
