date,confirmed,fatalities,ICU
2020-03-02,15,0,0
2020-03-03,30,0,0
2020-03-04,52,0,0
2020-03-05,94,0,0
2020-03-06,137,0,0
2020-03-07,162,0,0
2020-03-08,203,0,0
2020-03-09,260,0,0
2020-03-10,356,0,0
2020-03-11,500,1,0
2020-03-12,687,1,0
2020-03-13,812,1,0
2020-03-14,967,2,0
2020-03-15,1032,3,0
2020-03-16,1121,7,0
2020-03-17,1196,8,0
2020-03-18,1295,10,1
2020-03-19,1443,11,2
2020-03-20,1650,16,2
2020-03-21,1784,20,77
2020-03-22,1929,23,91
2020-03-23,2059,33,137
2020-03-24,2299,40,177
2020-03-25,2527,63,219
2020-03-26,2855,78,255
2020-03-27,3069,105,287
2020-03-28,3460,112,313
2020-03-29,3719,123,343
2020-03-30,3719,123,358
