date,confirmed,fatalities,ICU
2020-03-02,98,6,0
2020-03-03,118,7,0
2020-03-04,149,11,0
2020-03-05,217,12,0
2020-03-06,262,14,0
2020-03-07,402,17,0
2020-03-08,518,21,0
2020-03-09,583,22,0
2020-03-10,959,28,0
2020-03-11,1281,36,0
2020-03-12,1663,40,0
2020-03-13,2179,47,0
2020-03-14,2727,54,0
2020-03-15,3499,63,0
2020-03-16,4632,85,0
2020-03-17,6421,108,0
2020-03-18,7783,118,0
2020-03-19,13677,200,0
2020-03-20,19100,244,0
2020-03-21,25489,307,0
2020-03-22,33276,417,0
2020-03-23,43847,557,0
2020-03-24,53740,706,0
2020-03-25,65778,942,0
2020-03-26,83836,1209,0
2020-03-27,101657,1581,0
2020-03-28,121478,2026,0
2020-03-29,140886,2467,0
2020-03-30,140886,2467,0
