date,confirmed,fatalities,ICU
2020-03-02,2036,52,0
2020-03-03,2502,79,0
2020-03-04,3089,107,0
2020-03-05,3858,148,0
2020-03-06,4636,197,0
2020-03-07,5883,233,0
2020-03-08,7375,366,0
2020-03-09,9172,463,0
2020-03-10,10149,631,0
2020-03-11,12462,827,0
2020-03-12,12462,827,0
2020-03-13,17660,1266,0
2020-03-14,21157,1441,0
2020-03-15,24747,1809,0
2020-03-16,27980,2158,0
2020-03-17,31506,2503,0
2020-03-18,35713,2978,0
2020-03-19,41035,3405,0
2020-03-20,47021,4032,0
2020-03-21,53578,4825,0
2020-03-22,59138,5476,0
2020-03-23,63927,6077,0
2020-03-24,69176,6820,0
2020-03-25,74386,7503,0
2020-03-26,80589,8215,0
2020-03-27,86498,9134,0
2020-03-28,92472,10023,0
2020-03-29,97689,10779,0
2020-03-30,97689,10779,0
